0100,21
0101,46
0102,01
0103,36
0104,01
0105,21
0106,47
0107,01
0108,36
0109,00
010A,7E
010B,FE
010C,09
010D,D2
010E,19
010F,01
0110,21
0111,46
0112,01
0113,7E
0114,B7
0115,C2
0116,00
0117,01
0118,FF
0119,5F
011A,16
011B,00
011C,21
011D,48
011E,01
011F,19
0120,19
0121,4E
0122,79
0123,23
0124,46
0125,23
0126,96
0126,57
0128,78
0129,23
012A,9E
012B,DA
012C,3F
012D,01
012E,B2
012F,CA
0130,3F
0131,01
0132,56
0133,70
0134,2B
0135,5E
0136,71
0137,2B
0138,72
0139,2B
013A,73
013B,21
013C,46
013D,01
013E,34
013F,21
0000,
